,Blog,Target
0,"Java is one of the most popular and widely used programming language.
Simple Hello World Program : Output : Overview, Basics,   OOP concepts, Inheritance   Operators,   Strings,   Input and Output, Arrays , Arrays Class,  Important Keywords in Java ,Java vs C++,   Methods in Java,   Constructors,   Exception Handling,  Interfaces and Abstract Classes, Java Packages, Multithreading,   Garbage Collection, Wrapper Classes, Reflection in Java,   File Handling,   Collection in Java, Collection Interview FAQ’s  ,Collections Class (Contains utility functions on Collections),   Useful and/or Advanced Features,   Image Processing,  Networking in Java, Interview Questions, Misc, Multiple Choice Questions, Java 8 Stream MethodsApache in JavaJava Recent Articles!
Java Output & Multiple Choice Questions",java
1,"Java is one of the most popular and widely used programming language and platform. A platform is an environment that helps to develop and run programs written in any programming language.
Java is fast, reliable and secure. From desktop to web applications, scientific supercomputers to gaming consoles, cell phones to the Internet, Java is used in every nook and corner.However to become proficient in any programming language, one Firstly needs to understand the basics of that language.Therefore, below are the basics of Java in the format in which it will help you the most to get the headstart:Learn about setting up the Java environment here: Setting up the environment in JavaLearn about printing “Hello World” in Java here: Beginning Java programming with Hello World Example
Learn about Comments in Java here: Comments in Java Learn about different data types in Java here: Data types in Java Learn about Variables in Java here: Variables in Java
Learn about Keywords in Java here: Keywords in Java
Learn about Operators in Java here: Operators in Java
Learn about Decision Making in Java here: Decision Making in Java
Learn about Loops in Java here: Loops in Java GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please Improve this article if you find anything incorrect by clicking on  the ""Improve Article"" button below.",java
2,C Programming Mock TestsData Structures Mock TestsAlgorithms Mock TestsOperating Systems Mock TestsC++ Programming Mock TestsJava Programming Mock TestsPython Programming Mock TestsGATE Mock TestsDBMS Mock TestsCompiler Design Mock TestsComputer Networks Mock TestsTheory of Computation Mock TestsAptitude Mock TestsComputer Organization and ArchitectureOther Topics in Computer ScienceEngineering MathematicsCS Interview Questions ,java
3,"Java is one of the most popular and widely used programming language and platform. A platform is an environment that helps to develop and run programs written in any programming language.
Java is fast, reliable and secure. From desktop to web applications, scientific supercomputers to gaming consoles, cell phones to the Internet, Java is used in every nook and corner.Therefore, Java is a very successful language and it is gaining popularity day by day.You can download java from here. Here you will find different versions of java. Choose and download the one compatible with your operating system.
For detailed instructions for setting up of Java, refer this article.After you have set up the Java environment correctly, try running this simple program:                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // A Java program to print GeeksforGeeks publicclassGFG {     publicstaticvoidmain(String args[])     {         System.out.println(""GeeksforGeeks"");     } } If the environment is set up correctly and the code is correctly written, you shall see this output on your console. That is your first Java program!GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please Improve this article if you find anything incorrect by clicking on  the ""Improve Article"" button below.",java
4,"In inheritance, subclass acquires super class properties. An important point to note is, when subclass object is created, a separate object of super class object will not be created. Only a subclass object object is created that has super class variables.This situation is different from a normal assumption that a constructor call means an object of the class is created, so we can’t blindly say that whenever a class constructor is executed, object of that class is created or not.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // A Java program to demonstrate that both super class // and subclass constructors refer to same object  // super class classFruit {     publicFruit()     {         System.out.println(""Super class constructor"");         System.out.println(""Super class object hashcode :""+                            this.hashCode());         System.out.println(this.getClass().getName());     } }  // sub class classApple extendsFruit {     publicApple()     {         System.out.println(""Subclass constructor invoked"");         System.out.println(""Sub class object hashcode :""+                            this.hashCode());         System.out.println(this.hashCode() + ""   ""+                            super.hashCode());          System.out.println(this.getClass().getName() + ""  ""+                            super.getClass().getName());     } }  // driver class publicclassTest {     publicstaticvoidmain(String[] args)     {         Apple myApple = newApple();     } } Output:As we can see that both super class(Fruit) object hashcode and subclass(Apple) object hashcode are same, so only one object is created. This object is of class Apple(subclass) as when we try to print name of class which object is created, it is printing Apple which is subclass.This article is contributed by Gaurav Miglani. If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above.GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details ",java
5,"The process of Java programming can be simplified in three steps:Below given  program is the simplest program of Java printing “Hello World” to the screen. Let us try to understand every bit of code step by step.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                /* This is a simple Java program.    FileName : ""HelloWorld.java"". */classHelloWorld {     // Your program begins with a call to main().     // Prints ""Hello, World"" to the terminal window.     publicstaticvoidmain(String args[])     {         System.out.println(""Hello, World"");     } } Output:The “Hello World!” program consists of three primary components: the HelloWorld class definition, the main method and source code comments. Following explanation will provide you with a basic understanding of the code:mainHelloWorld is an identifier that is the name of the class. The entire class definition, including all of its members, will be between the opening curly brace  {  and the closing curly brace  } .mainLike in C/C++, main method is the entry point for your application and will subsequently invoke all the other methods required by your program.This line outputs the string “Hello, World” followed by a new line on the screen. Output is actually accomplished by the built-in println( ) method. System is a predefined class that provides access to the system, and out is the variable of type output stream that is connected to the console.This is a multiline comment. This type of comment must begin with /* and end with */. For single line you may directly use // as in C/C++.Important Points :Compiling the program  :This will print “Hello World” to the terminal screen.In WindowsIn LinuxThis article is contributed by Gaurav Miglani. If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above.GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details ",java
6,"Campus placements season is beginning at almost all the colleges and each one of us wants to prepare to do the best. A lot of students have been asking on different forums “How to use GeeksforGeeks for placement preparation”? In this article, a step by step guide for placement preparation is discussed.        Set 2 – To guide you going beyond the basics and getting placed in your dream companies 🙂 C++JavaPythonDSAlgorithmsDBMSComputer NetworksOperating System 
Company wise preparation articles, coding practice and subjective questions.If you like GeeksforGeeks and would like to contribute, you can also write an article and mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above",java
7,"Overloading allows different methods to have the same name, but different signatures where the signature can differ by the number of input parameters or type of input parameters or both. Overloading is related to compile-time (or static) polymorphism.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program to demonstrate working of method // overloading in Java.  publicclassSum {      // Overloaded sum(). This sum takes two int parameters     publicintsum(intx, inty)     {         return(x + y);     }      // Overloaded sum(). This sum takes three int parameters     publicintsum(intx, inty, intz)     {         return(x + y + z);     }      // Overloaded sum(). This sum takes two double parameters     publicdoublesum(doublex, doubley)     {         return(x + y);     }      // Driver code     publicstaticvoidmain(String args[])     {         Sum s = newSum();         System.out.println(s.sum(10, 20));         System.out.println(s.sum(10, 20, 30));         System.out.println(s.sum(10.5, 20.5));     } } Output :Question Arises:
Q. What if the exact prototype does not match with arguments.
Ans.
Priority wise, compiler take these steps:Let’s take an example to clear the concept:-                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                classDemo {     publicvoidshow(intx)     {         System.out.println(""In int""+ x);     }     publicvoidshow(String s)     {         System.out.println(""In String""+ s);     }     publicvoidshow(byteb)     {         System.out.println(""In byte""+ b);     } } classUseDemo {     publicstaticvoidmain(String[] args)     {         bytea = 25;         Demo obj = newDemo();         obj.show(a); // it will go to         // byte argument         obj.show(""hello""); // String         obj.show(250); // Int         obj.show('A'); // Since char is         // not available, so the datatype         // higher than char in terms of         // range is int.         obj.show(""A""); // String         obj.show(7.5); // since float datatype // is not available and so it's higher // datatype, so at this step their // will be an error. } } What is the advantage?
We don’t have to create and remember different names for functions doing the same thing. For example, in our code, if overloading was not supported by Java, we would have to create method names like sum1, sum2, … or sum2Int, sum3Int, … etc.Can we overload methods on return type?
We cannot overload by return type. This behavior is same in C++. Refer this for details                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                publicclassMain {     publicintfoo() { return10; }      // compiler error: foo() is already defined     publiccharfoo() { return'a'; }      publicstaticvoidmain(String args[])     {     } } However, Overloading methods on return type are possible in cases where the data type of the function being called is explicitly specified. Look at the examples below :                                      edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program to demonstrate the working of method // overloading in static methods publicclassMain {      publicstaticintfoo(inta) { return10; }     publicstaticcharfoo(inta, intb) { return'a'; }      publicstaticvoidmain(String args[])     {         System.out.println(foo(1));         System.out.println(foo(1, 2));     } } Output:                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program to demonstrate working of method // overloading in  methods classA {     publicintfoo(inta) { return10; }      publiccharfoo(inta, intb) { return'a'; } }  publicclassMain {      publicstaticvoidmain(String args[])     {         A a = newA();         System.out.println(a.foo(1));         System.out.println(a.foo(1, 2));     } } Output:Can we overload static methods?
The answer is ‘Yes’. We can have two ore more static methods with same name, but differences in input parameters. For example, consider the following Java program. Refer this for details.Can we overload methods that differ only by static keyword?
We cannot overload two methods in Java if they differ only by static keyword (number of parameters and types of parameters is same). See following Java program for example. Refer this for details.Can we overload main() in Java?
Like other static methods, we can overload main() in Java. Refer overloading main() in Java for more details.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // A Java program with overloaded main() importjava.io.*;  publicclassTest {      // Normal main()     publicstaticvoidmain(String[] args)     {         System.out.println(""Hi Geek (from main)"");         Test.main(""Geek"");     }      // Overloaded main methods     publicstaticvoidmain(String arg1)     {         System.out.println(""Hi, ""+ arg1);         Test.main(""Dear Geek"", ""My Geek"");     }     publicstaticvoidmain(String arg1, String arg2)     {         System.out.println(""Hi, ""+ arg1 + "", ""+ arg2);     } } Output :Does Java support Operator Overloading?
Unlike C++, Java doesn’t allow user-defined overloaded operators. Internally Java overloads operators, for example, + is overloaded for concatenation.What is the difference between Overloading and Overriding?Related Articles:This article is contributed by Shubham Agrawal. If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above.GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details ",java
8,"Java is one of the most popular and widely used programming language and platform. A platform is an environment that helps to develop and run programs written in any programming language.Java is fast, reliable and secure. From desktop to web applications, scientific supercomputers to gaming consoles, cell phones to the Internet, Java is used in every nook and corner.Java is easy to learn and its syntax is simple and easy to understand. It is based on C++ (so easier for programmers who know C++). Java has removed many confusing and rarely-used features e.g. explicit pointers, operator overloading etc. Java also takes care of memory management and for that, it provides an automatic garbage collector. This collects the unused objects automatically.Below is the complete guide as to how to get started with Java and make yourself proficient in it.Learn about Java here: How to start learning Java
Learn about JVM here: JVM
By reading this article, you will get the to topics from how to set up the Java Environment to the details about its coding.Learn about Java Programming Basics here: Java Programming Basics
Learn about OOPs concepts in Java here: Object Oriented Programming (OOPs) Concept in Java
Learn about Classes and Objects in Java here: Classes and Objects in Java
Learn about Constructors in Java here: Constructors in Java
Learn about Methods in Java here: Methods in Java
Learn about Strings in Java here: Strings in Java
Learn about Arrays in Java here: Arrays in Java
Learn about Collections in Java here: Collections in Java
Learn about Generics in Java here: Generics in Java
Learn about Stream In Java here: Stream In Java
Learn about Exceptions and Exception Handling in Java here: Exceptions and Exception Handling in Java
Learn about Regular Expressions here: Regular Expressions (ReGex) in JavaLearn about Multithreading in Java here: Multithreading in Java
Learn about File Handling in Java here: File Handling in Java
Learn about Packages in Java here: Packages in Java
GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please Improve this article if you find anything incorrect by clicking on  the ""Improve Article"" button below.",java
9,"Classes and Objects are basic concepts of Object Oriented Programming which revolve around the real life entities.ClassA class is a user defined blueprint or prototype from which objects are created.  It represents the set of properties or methods that are common to all objects of one type. In general, class declarations can include these components, in order:Constructors are used for initializing new objects. Fields are variables that provides the state of the class and its objects, and methods are used to implement the behavior of the class and its objects.There are various types of classes that are used in real time applications such as nested classes, anonymous classes, lambda expressions.ObjectIt is a basic unit of Object Oriented Programming and represents the real life entities.  A typical Java program creates many objects, which as you know, interact by invoking methods. An object consists of :Example of an object : dogObjects correspond to things found in the real world. For example, a graphics program may have objects such as “circle”, “square”, “menu”. An online shopping system might have objects such as “shopping cart”, “customer”, and “product”.Declaring Objects (Also called instantiating a class)When an object of a class is created, the class is said to be instantiated. All the instances share the attributes and the behavior of the class. But the values of those attributes, i.e. the state are unique for each object. A single class may have any number of instances.Example :As we declare variables like (type name;). This notifies the compiler that we will use name to refer to data whose type is type. With a primitive variable, this declaration also reserves the proper amount of memory for the variable. So for reference variable, type must be strictly a concrete class name. In general,we can’t create objects of an abstract class or an interface.If we declare reference variable(tuffy) like this, its value will be undetermined(null) until an object is actually created and assigned to it. Simply declaring a reference variable does not create an object. Initializing an objectThe new operator instantiates a class by allocating memory for a new object and returning a reference to that memory. The new operator also invokes the class constructor.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Class Declaration  publicclassDog {     // Instance Variables     String name;     String breed;     intage;     String color;      // Constructor Declaration of Class     publicDog(String name, String breed,                    intage, String color)     {         this.name = name;         this.breed = breed;         this.age = age;         this.color = color;     }      // method 1     publicString getName()     {         returnname;     }      // method 2     publicString getBreed()     {         returnbreed;     }      // method 3     publicintgetAge()     {         returnage;     }      // method 4     publicString getColor()     {         returncolor;     }      @Override    publicString toString()     {         return(""Hi my name is ""+ this.getName()+                "".\nMy breed,age and color are ""+                this.getBreed()+"",""+ this.getAge()+                "",""+ this.getColor());     }      publicstaticvoidmain(String[] args)     {         Dog tuffy = newDog(""tuffy"",""papillon"", 5, ""white"");         System.out.println(tuffy.toString());     } } Output:The result of executing this statement can be illustrated as :
Note : All classes have at least one constructor. If a class does not explicitly declare any, the Java compiler automatically provides a no-argument constructor, also called the default constructor. This default constructor calls the class parent’s no-argument constructor (as it contain only one statement i.e super();), or the Object class constructor if the class has no other parent (as Object class is parent of all classes either directly or indirectly).Ways to create object of a classThere are four ways to create objects in java.Strictly speaking there is only one way(by using new keyword),and the rest internally use new keyword. Creating multiple objects by one type only (A good practice)Anonymous objects  Anonymous objects are the objects that are instantiated but are not stored in a reference variable.This article is contributed by Gaurav Miglani. If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above.GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details ",java
